Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
2023-01-28 23:27:13,2023-01-30 02:25:01,UTCZ,2023-01-28 23:27:13,2023-01-29 10:43:01,100,14.5,599,675,289,121,189,76,561,88,90,false
2023-01-28 03:49:43,2023-01-28 23:27:13,UTCZ,2023-01-28 03:49:43,2023-01-28 10:25:18,62,15.6,334,391,210,43,81,57,542,70,85,false
2023-01-27 00:56:32,2023-01-28 03:49:43,UTCZ,2023-01-27 00:56:32,2023-01-27 08:18:08,70,14.1,372,441,224,66,82,69,529,51,84,false
2023-01-25 23:06:02,2023-01-27 00:56:32,UTCZ,2023-01-25 23:06:02,2023-01-26 07:56:12,83,14.1,457,530,251,104,102,73,549,79,86,false
2023-01-25 01:03:33,2023-01-25 23:06:02,UTCZ,2023-01-25 01:03:33,2023-01-25 08:04:49,66,14.3,365,421,177,61,127,56,549,69,87,false
2023-01-23 23:22:00,2023-01-25 01:03:33,UTCZ,2023-01-23 23:22:00,2023-01-24 08:04:24,77,14.4,418,522,236,85,97,104,543,66,80,false
2023-01-23 00:11:45,2023-01-23 23:22:00,UTCZ,2023-01-23 00:11:45,2023-01-23 08:37:24,78,14.6,449,505,199,103,147,56,572,39,88,false
2023-01-22 00:53:15,2023-01-23 00:11:45,UTCZ,2023-01-22 00:53:15,2023-01-22 10:02:10,87,14.6,468,549,221,101,146,81,535,63,85,false
2023-01-21 02:05:48,2023-01-22 00:53:15,UTCZ,2023-01-21 02:05:48,2023-01-21 11:05:06,79,15.2,493,539,193,121,179,46,625,133,92,false
2023-01-20 03:20:37,2023-01-21 02:05:48,UTCZ,2023-01-20 03:20:37,2023-01-20 07:38:44,43,15.5,237,258,113,60,64,21,553,74,92,false
2023-01-19 00:08:27,2023-01-20 03:20:37,UTCZ,2023-01-19 00:08:27,2023-01-19 07:16:14,68,14.2,369,424,174,78,117,55,544,72,86,false
2023-01-17 23:53:01,2023-01-19 00:08:27,UTCZ,2023-01-17 23:53:01,2023-01-18 07:38:17,69,14.9,418,465,274,77,67,47,603,79,90,false
2023-01-17 00:43:28,2023-01-17 23:53:01,UTCZ,2023-01-17 00:43:28,2023-01-17 08:04:42,66,14.4,361,441,186,75,100,80,548,78,83,false
2023-01-15 23:48:23,2023-01-17 00:43:28,UTCZ,2023-01-15 23:48:23,2023-01-16 08:04:54,74,14.8,424,496,288,48,88,72,572,100,85,false
2023-01-15 02:29:19,2023-01-15 23:48:23,UTCZ,2023-01-15 02:29:19,2023-01-15 08:57:13,57,15.8,334,387,137,86,111,53,588,54,89,false
2023-01-14 00:30:01,2023-01-15 02:29:19,UTCZ,2023-01-14 00:30:01,2023-01-14 09:31:43,82,15.6,471,541,300,75,96,70,571,88,89,false
2023-01-13 01:23:22,2023-01-14 00:30:01,UTCZ,2023-01-13 01:23:22,2023-01-13 08:08:06,62,14.6,342,404,251,57,34,62,548,69,84,false
2023-01-12 00:35:10,2023-01-13 01:23:22,UTCZ,2023-01-12 00:35:10,2023-01-12 08:04:34,77,14.6,407,449,289,66,52,42,528,42,90,false
2023-01-10 23:21:16,2023-01-12 00:35:10,UTCZ,2023-01-10 23:21:16,2023-01-11 08:04:42,86,14.9,463,523,256,103,104,60,540,70,88,false
2023-01-10 00:24:41,2023-01-10 23:21:16,UTCZ,2023-01-10 00:24:41,2023-01-10 08:04:40,70,15.5,415,460,253,60,102,45,596,81,90,false
2023-01-09 00:30:38,2023-01-10 00:24:41,UTCZ,2023-01-09 00:30:38,2023-01-09 08:02:24,65,15.3,376,451,232,60,84,75,577,60,83,false
2023-01-08 00:16:13,2023-01-09 00:30:38,UTCZ,2023-01-08 00:16:13,2023-01-08 08:58:03,80,15.3,402,521,198,84,120,119,504,9,77,false
2023-01-06 22:51:39,2023-01-08 00:16:13,UTCZ,2023-01-06 22:51:39,2023-01-07 09:54:51,97,15.0,581,663,287,121,173,82,599,121,88,false
2023-01-06 02:22:16,2023-01-06 22:51:39,UTCZ,2023-01-06 02:22:16,2023-01-06 06:49:02,48,15.4,236,265,122,53,61,29,493,21,89,false
2023-01-04 22:14:12,2023-01-06 02:22:16,UTCZ,2023-01-04 22:14:12,2023-01-05 08:10:13,93,15.6,496,594,277,93,126,98,535,60,84,false
2023-01-03 22:46:01,2023-01-04 22:14:12,UTCZ,2023-01-03 22:46:01,2023-01-04 08:05:01,80,15.6,463,558,245,101,117,95,580,109,84,false
2023-01-03 02:38:08,2023-01-03 22:46:01,UTCZ,2023-01-03 02:38:08,2023-01-03 08:14:36,53,15.2,302,336,145,51,106,34,567,93,90,false
2023-01-02 02:28:30,2023-01-03 02:38:08,UTCZ,2023-01-02 02:28:30,2023-01-02 09:36:47,60,16.4,359,427,243,77,39,68,601,123,83,false
2023-01-01 04:37:51,2023-01-02 02:28:30,UTCZ,2023-01-01 04:37:51,2023-01-01 10:01:20,47,16.3,277,323,185,56,36,46,587,65,85,false
2022-12-31 01:27:20,2023-01-01 04:37:51,UTCZ,2022-12-31 01:27:20,2022-12-31 08:25:10,72,14.4,367,415,227,62,78,48,513,37,88,false
2022-12-30 01:02:26,2022-12-31 01:27:20,UTCZ,2022-12-30 01:02:26,2022-12-30 09:26:39,84,14.4,424,500,227,86,111,76,505,0,84,false
